reference,text,chapter,verse,emotion_tag
Bhagavad Gita 1.1,"The first chapter of the Bhagavad Gita - ""Arjuna Vishada Yoga"" introduces the setup, the setting, the characters and the circumstances that led to the epic battle of Mahabharata, fought between the Pandavas and the Kauravas",1,1,anger/conflict
Bhagavad Gita 1.2,It outlines the reasons that led to the revelation of the of Bhagavad Gita,1,2,general guidance
Bhagavad Gita 1.3,"As both armies stand ready for the battle, the mighty warrior Arjuna, on observing the warriors on both sides becomes increasingly sad and depressed due to the fear of losing his relatives and friends and the consequent sins attributed to killing his own relatives",1,3,sadness
Bhagavad Gita 1.4,"So, he surrenders to Lord Krishna, seeking a solution",1,4,devotion
Bhagavad Gita 1.5,"Thus, follows the wisdom of the Bhagavad Gita",1,5,general guidance
Bhagavad Gita 2.1,"The second chapter of the Bhagavad Gita is ""Sankhya Yoga""",2,1,general guidance
Bhagavad Gita 2.2,This is the most important chapter of the Bhagavad Gita as Lord Krishna condenses the teachings of the entire Gita in this chapter,2,2,devotion
Bhagavad Gita 2.3,This chapter is the essence of the entire Gita,2,3,general guidance
Bhagavad Gita 2.4,"""Sankhya Yoga"" can be categorized into 4 main topics -",2,4,general guidance
Bhagavad Gita 2.6,Arjuna completely surrenders himself to Lord Krishna and accepts his position as a disciple and Krishna as his Guru,2,6,devotion
Bhagavad Gita 2.7,He requests Krishna to guide him on how to dismiss his sorrow,2,7,sadness
Bhagavad Gita 2.9,"Explanation of the main cause of all grief, which is ignorance of the true nature of Self",2,9,sadness
Bhagavad Gita 2.11,Karma Yoga - the discipline of selfless action without being attached to its fruits,2,11,anxiety/guidance
Bhagavad Gita 2.13,Description of a Perfect Man - One whose mind is steady and one-pointed,2,13,general guidance
Bhagavad Gita 3.1,"The third chapter of the Bhagavad Gita is ""Karma Yoga"" or the ""Path of Selfless Service""",3,1,anxiety/guidance
Bhagavad Gita 3.2,Here Lord Krishna emphasizes the importance of karma in life,3,2,anxiety/guidance
Bhagavad Gita 3.3,He reveals that it is important for every human being to engage in some sort of activity in this material world,3,3,general guidance
Bhagavad Gita 3.4,"Further, he describes the kinds of actions that lead to bondage and the kinds that lead to liberation",3,4,anxiety/guidance
Bhagavad Gita 3.5,"Those persons who continue to perform their respective duties externally for the pleasure of the Supreme, without attachment to its rewards get liberation at the end",3,5,anger/conflict
Bhagavad Gita 4.1,"The fourth chapter of the Bhagavad Gita is ""Jnana Karma Sanyasa Yoga""",4,1,anxiety/guidance
Bhagavad Gita 4.2,"In this chapter, Krishna glorifies the Karma Yoga and imparts the Transcendental Knowledge (the knowledge of the soul and the Ultimate Truth) to Arjuna",4,2,anxiety/guidance
Bhagavad Gita 4.3,He reveals the reason behind his appearance in this material world,4,3,general guidance
Bhagavad Gita 4.4,"He reveals that even though he is eternal, he reincarnates time after time to re-establish dharma and peace on this Earth",4,4,general guidance
Bhagavad Gita 4.5,His births and activities are eternal and are never contaminated by material flaws,4,5,general guidance
Bhagavad Gita 4.6,Those persons who know and understand this Truth engage in his devotion with full faith and eventually attain Him,4,6,confusion/knowledge
Bhagavad Gita 4.7,They do not have to take birth in this world again,4,7,general guidance
Bhagavad Gita 5.1,"The fifth chapter of the Bhagavad Gita is ""Karma Sanyasa Yoga""",5,1,anxiety/guidance
Bhagavad Gita 5.2,"In this chapter, Krishna compares the paths of renunciation in actions (Karma Sanyas) and actions with detachment (Karma Yoga) and explains that both are means to reach the same goal and we can choose either",5,2,anxiety/guidance
Bhagavad Gita 5.3,A wise person should perform his/her worldly duties without attachment to the fruits of his/her actions and dedicate them to God,5,3,anxiety/guidance
Bhagavad Gita 5.4,This way they remain unaffected by sin and eventually attain liberation,5,4,general guidance
Bhagavad Gita 6.1,"The sixth chapter of the Bhagavad Gita is ""Dhyana Yoga""",6,1,general guidance
Bhagavad Gita 6.2,"In this chapter, Krishna reveals the ""Yoga of Meditation"" and how to practise this Yoga",6,2,general guidance
Bhagavad Gita 6.3,"He discusses the role of action in preparing for Meditation, how performing duties in devotion purifies one's mind and heightens one's spiritual consciousness",6,3,anxiety/guidance
Bhagavad Gita 6.4,He explains in detail the obstacles that one faces when trying to control their mind and the exact methods by which one can conquer their mind,6,4,general guidance
Bhagavad Gita 6.5,He reveals how one can focus their mind on Paramatma and unite with the God,6,5,devotion
